Date,Open,High,Low,Close,Adj Close,Volume
2021-09-17,1820.349976,1820.349976,1820.349976,1820.349976,1820.349976,8091432
2021-09-20,1729.349976,1729.349976,1729.349976,1729.349976,1729.349976,677675
2021-09-21,1642.900024,1642.900024,1642.900024,1642.900024,1642.900024,319006
2021-09-22,1560.800049,1725.000000,1560.800049,1560.800049,1560.800049,835775
2021-09-23,1482.800049,1599.949951,1482.800049,1547.599976,1547.599976,725520
2021-09-24,1520.000000,1550.000000,1501.099976,1542.150024,1542.150024,178331
2021-09-27,1512.000000,1593.000000,1495.050049,1578.400024,1578.400024,231569
2021-09-28,1590.000000,1590.000000,1539.949951,1549.900024,1549.900024,294035
2021-09-29,1543.000000,1588.000000,1502.099976,1530.599976,1530.599976,243398
2021-09-30,1540.000000,1564.000000,1511.000000,1558.500000,1558.500000,156084
2021-10-01,1558.500000,1590.099976,1525.000000,1577.849976,1577.849976,115660
2021-10-04,1577.849976,1656.699951,1552.000000,1636.000000,1636.000000,98132
2021-10-05,1674.800049,1717.800049,1656.699951,1717.800049,1717.800049,104466
2021-10-06,1749.000000,1797.699951,1748.000000,1764.500000,1764.500000,151949
2021-10-07,1797.000000,1799.000000,1729.250000,1764.300049,1764.300049,103320
2021-10-08,1730.150024,1750.000000,1676.099976,1678.699951,1678.699951,119791
2021-10-11,1682.000000,1707.000000,1635.000000,1696.699951,1696.699951,70249
2021-10-12,1696.000000,1715.000000,1631.650024,1688.800049,1688.800049,63319
2021-10-13,1664.000000,1718.000000,1662.699951,1702.750000,1702.750000,225360
2021-10-14,1665.000000,1709.800049,1665.000000,1687.300049,1687.300049,79969
2021-10-18,1699.000000,1755.000000,1690.000000,1748.199951,1748.199951,106547
2021-10-19,1760.000000,1772.000000,1717.000000,1745.050049,1745.050049,89220
2021-10-20,1700.000000,1750.000000,1680.000000,1710.199951,1710.199951,70059
2021-10-21,1727.300049,1795.699951,1624.699951,1789.599976,1789.599976,208668
2021-10-22,1774.000000,1827.000000,1740.000000,1809.000000,1809.000000,141854
2021-10-25,1828.000000,1890.000000,1800.000000,1869.900024,1869.900024,170443
2021-10-26,1864.000000,1899.949951,1800.000000,1854.849976,1854.849976,62879
2021-10-27,1832.000000,1896.000000,1800.000000,1874.250000,1874.250000,65583
2021-10-28,1836.800049,1874.449951,1780.550049,1793.000000,1793.000000,77690
2021-10-29,1765.000000,1828.900024,1703.349976,1767.400024,1767.400024,103463
2021-11-01,1783.900024,1799.000000,1705.000000,1760.550049,1760.550049,87991
2021-11-02,1758.900024,1790.000000,1715.000000,1758.300049,1758.300049,37465
2021-11-03,1740.000000,1846.199951,1740.000000,1843.349976,1843.349976,128939
2021-11-04,1850.000000,1885.000000,1790.349976,1817.500000,1817.500000,13649
2021-11-08,1850.000000,1875.000000,1801.000000,1844.500000,1844.500000,148371
2021-11-09,1816.000000,1888.000000,1809.000000,1859.800049,1859.800049,65202
2021-11-10,1830.050049,1880.000000,1823.000000,1872.849976,1872.849976,58596
2021-11-11,1840.050049,1942.000000,1840.050049,1893.699951,1893.699951,109785
2021-11-12,1929.750000,1988.349976,1900.000000,1988.349976,1988.349976,206635
2021-11-15,1999.000000,2007.699951,1912.000000,1935.849976,1935.849976,62255
2021-11-16,1919.000000,1930.000000,1850.000000,1877.900024,1877.900024,79160
2021-11-17,1898.000000,1924.699951,1830.000000,1857.500000,1857.500000,81541
2021-11-18,1880.000000,1929.500000,1789.900024,1913.300049,1913.300049,79598
2021-11-22,1930.000000,1935.050049,1817.650024,1913.449951,1913.449951,79041
2021-11-23,1883.000000,1965.000000,1855.000000,1954.550049,1954.550049,73085
2021-11-24,1916.050049,1985.000000,1904.000000,1937.000000,1937.000000,79162
2021-11-25,1949.000000,2033.849976,1910.349976,2029.599976,2029.599976,139622
2021-11-26,1945.000000,2045.000000,1940.500000,1993.849976,1993.849976,125504
2021-11-29,1924.599976,1950.000000,1894.199951,1894.199951,1894.199951,110799
2021-11-30,1802.000000,1865.500000,1799.500000,1799.500000,1799.500000,966317
2021-12-01,1709.550049,1875.250000,1709.550049,1797.150024,1797.150024,233863
2021-12-02,1795.099976,1887.000000,1760.000000,1885.199951,1885.199951,162346
2021-12-03,1875.400024,1900.449951,1840.000000,1868.300049,1868.300049,457542
2021-12-06,1868.900024,1900.000000,1840.099976,1874.150024,1874.150024,104084
2021-12-07,1875.000000,1915.000000,1850.349976,1892.449951,1892.449951,519320
2021-12-08,1855.000000,1913.900024,1853.000000,1882.699951,1882.699951,479596
2021-12-09,1857.099976,1900.000000,1856.300049,1880.550049,1880.550049,56535
2021-12-10,1860.000000,1900.000000,1860.000000,1874.199951,1874.199951,393987
2021-12-13,1855.000000,1887.000000,1781.000000,1812.599976,1812.599976,402452
2021-12-14,1848.800049,1885.000000,1820.000000,1872.699951,1872.699951,410771
2021-12-15,1872.699951,1895.000000,1842.000000,1859.849976,1859.849976,331803
2021-12-16,1872.000000,1888.800049,1820.000000,1839.849976,1839.849976,376249
2021-12-17,1803.050049,1872.099976,1750.000000,1777.199951,1777.199951,539171
2021-12-20,1688.349976,1731.650024,1688.349976,1695.199951,1695.199951,283959
2021-12-21,1696.000000,1779.949951,1696.000000,1769.599976,1769.599976,33073
2021-12-22,1825.000000,1839.000000,1750.199951,1807.349976,1807.349976,361249
2021-12-23,1790.000000,1835.000000,1790.000000,1822.449951,1822.449951,256791
2021-12-24,1792.000000,1829.900024,1760.500000,1768.400024,1768.400024,317175
2021-12-27,1827.949951,1830.000000,1733.000000,1746.550049,1746.550049,278349
2021-12-28,1785.000000,1790.050049,1720.000000,1736.699951,1736.699951,71843
2021-12-29,1730.000000,1730.000000,1700.000000,1727.800049,1727.800049,27706
2021-12-30,1720.000000,1720.000000,1650.250000,1683.400024,1683.400024,72276
2021-12-31,1685.000000,1750.000000,1685.000000,1740.849976,1740.849976,55058
2022-01-03,1735.000000,1755.000000,1710.000000,1731.099976,1731.099976,32602
2022-01-04,1731.099976,1775.000000,1700.000000,1754.949951,1754.949951,42498
2022-01-05,1706.099976,1780.500000,1706.099976,1761.050049,1761.050049,54105
2022-01-06,1730.000000,1770.000000,1710.000000,1760.050049,1760.050049,51023
2022-01-07,1740.099976,1780.000000,1721.849976,1776.000000,1776.000000,64894
2022-01-10,1742.099976,1834.000000,1742.099976,1819.699951,1819.699951,68601
2022-01-11,1839.000000,1889.000000,1770.000000,1867.449951,1867.449951,100209
2022-01-12,1880.000000,1958.000000,1822.500000,1928.250000,1928.250000,108933
2022-01-13,1973.900024,2024.650024,1906.000000,2019.699951,2019.699951,143323
2022-01-14,1998.000000,2030.000000,1930.000000,2020.599976,2020.599976,55454
2022-01-17,1995.000000,2016.000000,1970.199951,2002.699951,2002.699951,78536
2022-01-18,2002.699951,2050.000000,1981.000000,2026.750000,2026.750000,81437
2022-01-19,2040.000000,2049.399902,1950.000000,2043.250000,2043.250000,47517
2022-01-20,2002.550049,2049.899902,1975.000000,2039.750000,2039.750000,48408
2022-01-21,2037.000000,2141.000000,1984.000000,2066.800049,2066.800049,82788
2022-01-24,2097.000000,2125.000000,1963.500000,2035.900024,2035.900024,85918
2022-01-25,1950.000000,2089.000000,1934.150024,1992.449951,1992.449951,198926
2022-01-27,2005.000000,2059.300049,1920.000000,2009.300049,2009.300049,94304
2022-01-28,2000.000000,2075.000000,1960.000000,1986.800049,1986.800049,231963
2022-01-31,2020.000000,2046.300049,1950.000000,1970.900024,1970.900024,153177
